venue	year	award	title	paper_id	source_url
ACM CCS	2025	Distinguished Paper Award	Harnessing Vital Sign Vibration Harmonics for Effortless and Inbuilt XR User Authentication	225525	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	The Odyssey of robots.txt Governance: Measuring Convention Implications of Web Bots in Large Language Model Services	225239	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Layered, Overlapping, and Inconsistent: A Large-Scale Analysis of the Multiple Privacy Policies and Controls of U.S. Banks	225493	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Adversarial Observations in Weather Forecasting	225301	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	On the Security of SSH Client Signatures	225192	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	A Decade-long Landscape of Advanced Persistent Threats: Longitudinal Analysis and Global Trends	225520	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	BadAML: Exploiting Legacy Firmware Interfaces to Compromise Confidential Virtual Machines	225458	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Looping for Good: Cyclic Proofs for Security Protocols	225345	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Exact Robustness Certification of k-Nearest Neighbors	225414	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Automatically Detecting Online Deceptive Patterns	225382	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Don’t Look Up: There Are Sensitive Internal Links in the Clear on GEO Satellites	225524	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	WireTap: Breaking Server SGX via DRAM Bus Interposition	225434	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Optimistic, Signature-Free Reliable Broadcast and Its Applications	225440	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	From OT to OLE with Subquadratic Communication	225248	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	The OCH Authenticated Encryption Scheme	225371	https://www.sigsac.org/ccs/CCS2025/awards/
