venue	year	award	title	url	source_url
NDSS	2026	Best Paper Award	Peering Inside the Black-Box: Long-Range and Scalable Model Architecture Snooping via GPU Electromagnetic Side-Channel	https://www.ndss-symposium.org/ndss-paper/peering-inside-the-black-box-long-range-and-scalable-model-architecture-snooping-via-gpu-electromagnetic-side-channel/	https://www.ndss-symposium.org/ndss-paper/peering-inside-the-black-box-long-range-and-scalable-model-architecture-snooping-via-gpu-electromagnetic-side-channel/
NDSS	2026	Best Paper Award	One Email, Many Faces: A Deep Dive into Identity Confusion in Email Aliases	https://www.ndss-symposium.org/ndss-paper/one-email-many-faces-a-deep-dive-into-identity-confusion-in-email-aliases/	https://www.ndss-symposium.org/ndss-paper/one-email-many-faces-a-deep-dive-into-identity-confusion-in-email-aliases/
NDSS	2026	Best Paper Award	LOKI: Proactively Discovering Online Scam Websites by Mining Toxic Search Queries	https://www.ndss-symposium.org/ndss-paper/loki-proactively-discovering-online-scams-by-mining-toxic-search-queries/	https://www.ndss-symposium.org/ndss-paper/loki-proactively-discovering-online-scams-by-mining-toxic-search-queries/
NDSS	2026	Best Paper Award	OCCUPY+PROBE: Cross-Privilege Branch Target Buffer Side-Channel Attacks at Instruction Granularity	https://www.ndss-symposium.org/ndss-paper/occupyprobe-cross-privilege-branch-target-buffer-side-channel-attacks-at-instruction-granularity/	https://www.ndss-symposium.org/ndss-paper/occupyprobe-cross-privilege-branch-target-buffer-side-channel-attacks-at-instruction-granularity/
NDSS	2026	Best Paper Award	Fuzzilicon: A Post-Silicon Microcode-Guided x86 CPU Fuzzer	https://www.ndss-symposium.org/ndss-paper/fuzzilicon-a-post-silicon-microcode-guided-x86-cpu-fuzzer/	https://www.ndss-symposium.org/ndss-paper/fuzzilicon-a-post-silicon-microcode-guided-x86-cpu-fuzzer/
NDSS	2026	Best Paper Award	Should I Trust You? Rethinking the Principle of Zone-Based Isolation DNS Bailiwick Checking	https://www.ndss-symposium.org/ndss-paper/should-i-trust-you-rethinking-the-principle-of-zone-based-isolation-dns-bailiwick-checking/	https://www.ndss-symposium.org/ndss-paper/should-i-trust-you-rethinking-the-principle-of-zone-based-isolation-dns-bailiwick-checking/
NDSS	2026	Best Paper Award	Decompiling the Synergy: An Empirical Study of Human–LLM Teaming in Software Reverse Engineering	https://www.ndss-symposium.org/ndss-paper/decompiling-the-synergy-an-empirical-study-of-human-llm-teaming-in-software-reverse-engineering/	https://www.ndss-symposium.org/ndss-paper/decompiling-the-synergy-an-empirical-study-of-human-llm-teaming-in-software-reverse-engineering/
NDSS	2026	Best Paper Award	Phishing in Wonderland: Evaluating Learning-Based Ethereum Phishing Transaction Detection and Pitfalls	https://www.ndss-symposium.org/ndss-paper/phishing-in-wonderland-evaluating-learning-based-ethereum-phishing-transaction-detection-and-pitfalls/	https://www.ndss-symposium.org/ndss-paper/phishing-in-wonderland-evaluating-learning-based-ethereum-phishing-transaction-detection-and-pitfalls/
NDSS	2026	Best Paper Award	Indicator of Benignity: An Industry View of False Positive in Malicious Domain Detection and its Mitigation	https://www.ndss-symposium.org/ndss-paper/indicator-of-benignity-an-industry-view-of-false-positive-in-malicious-domain-detection-and-its-mitigation/	https://www.ndss-symposium.org/ndss-paper/indicator-of-benignity-an-industry-view-of-false-positive-in-malicious-domain-detection-and-its-mitigation/
NDSS	2026	Best Paper Award	Small Cell, Big Risk: A Security Assessment of 4G LTE Femtocells in the Wild	https://www.ndss-symposium.org/ndss-paper/small-cell-big-risk-a-security-assessment-of-4g-lte-femtocells-in-the-wild/	https://www.ndss-symposium.org/ndss-paper/small-cell-big-risk-a-security-assessment-of-4g-lte-femtocells-in-the-wild/
USENIX Security	2025	Distinguished Paper Award	Characterizing and Detecting Propaganda-Spreading Accounts on Telegram	https://www.usenix.org/conference/usenixsecurity25/presentation/kireev	https://www.usenix.org/conference/usenixsecurity25/presentation/kireev
USENIX Security	2025	Distinguished Paper Award	My ZIP isn't your ZIP: Identifying and Exploiting Semantic Gaps Between ZIP Parsers	https://www.usenix.org/conference/usenixsecurity25/presentation/you	https://www.usenix.org/conference/usenixsecurity25/presentation/you
USENIX Security	2025	Distinguished Paper Award	Catch-22: Uncovering Compromised Hosts using SSH Public Keys	https://www.usenix.org/conference/usenixsecurity25/presentation/munteanu	https://www.usenix.org/conference/usenixsecurity25/presentation/munteanu
USENIX Security	2025	Distinguished Paper Award	Branch Privilege Injection: Compromising Spectre v2 Hardware Mitigations by Exploiting Branch Predictor Race Conditions	https://www.usenix.org/conference/usenixsecurity25/presentation/ruegge	https://www.usenix.org/conference/usenixsecurity25/presentation/ruegge
USENIX Security	2025	Distinguished Paper Award	Confusing Value with Enumeration: Studying the Use of CVEs in Academia	https://www.usenix.org/conference/usenixsecurity25/presentation/schloegel	https://www.usenix.org/conference/usenixsecurity25/presentation/schloegel
USENIX Security	2025	Distinguished Paper Award	We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs	https://www.usenix.org/conference/usenixsecurity25/presentation/spracklen	https://www.usenix.org/conference/usenixsecurity25/presentation/spracklen
USENIX Security	2025	Distinguished Paper Award	How Transparent is Usable Privacy and Security Research? A Meta-Study on Current Research Transparency Practices	https://www.usenix.org/conference/usenixsecurity25/presentation/klemmer	https://www.usenix.org/conference/usenixsecurity25/presentation/klemmer
USENIX Security	2025	Distinguished Paper Award	Fuzzing the PHP Interpreter via Dataflow Fusion	https://www.usenix.org/conference/usenixsecurity25/presentation/jiang-yuancheng	https://www.usenix.org/conference/usenixsecurity25/presentation/jiang-yuancheng
